2025-06-22T21:28:23.686+0800	DEBUG	actor/funcs.go:243	[NodeTypeGate..(1) -> NodeTypeMatch.MatchTexasRoom.RoomListReq(1)] rsp:room_list:{room_id:4311744514  game_type:1  room_stage:1  coin_type:1  room_state:1  create_time:1750598890  finish_time:13750598890  min_buy_in:1000  max_buy_in:10000  small_blind:100  big_blind:200  max_player_count:6  player_count:2}  room_list:{room_id:4311744515  game_type:1  room_stage:2  coin_type:1  room_state:1  create_time:1750598890  finish_time:13750598890  min_buy_in:2000  max_buy_in:20000  small_blind:200  big_blind:400  max_player_count:6}  room_list:{room_id:4311744516  game_type:1  room_stage:3  coin_type:1  room_state:1  create_time:1750598890  finish_time:13750598890  min_buy_in:5000  max_buy_in:50000  small_blind:500  big_blind:1000  max_player_count:6}, reterr:<nil>
2025-06-22T21:28:26.306+0800	DEBUG	bus/nats.go:90	收到Nats单播数据包 bodySize:288, pack:head:{send_type:POINT  src:{node_type:NodeTypeRoom  node_id:1  actor_id:4311744514  router_type:RouterTypeRoomId  router:{room:1  game:1}}  dst:{node_type:NodeTypeMatch  node_id:1  actor_name:"MatchTexasRoom"  func_name:"Update"  actor_id:65537  router_type:RouterTypeGameType  router:{room:1  match:1}}  reference:1}  body:"\x08\x82\x80\x80\x88\x10\x10\x01\x18\x01 \xea\x89\xe0\xc2\x06*\xc4\x01\x1a\x0c\x08\x90\x01\x12\x07\x08\x90\x01 \x042\x00\x1a\x0c\x08\x91\x01\x12\x07\x08\x91\x01 \x012\x00*\xa5\x01\x08\x02J\x00X\x01b\x9c\x01\x84\x80\x10\x87\x80 \x89\x80\x10\x88\x80\x10\x88\x80\x04\x8e\x80\x08\x8a\x80\x04\x87\x80\x10\x86\x80\x08\x85\x80\x10\x87\x80\x04\x84\x80 \x84\x80\x08\x8b\x80\x10\x89\x80 \x86\x80\x04\x83\x80\x08\x85\x80\x04\x8d\x80\x10\x8e\x80\x10\x83\x80\x10\x83\x80 \x8c\x80\x08\x8c\x80 \x89\x80\x08\x8d\x80\x04\x85\x80 \x8b\x80\x08\x8a\x80 \x89\x80\x04\x84\x80\x04\x8e\x80 \x86\x80 \x8a\x80\x10\x8b\x80 \x83\x80\x04\x8a\x80\x08\x8c\x80\x10\x87\x80\x08\x8b\x80\x04\x82\x80\x04\x86\x80\x10\x82\x80\x08\x82\x80\x10\x82\x80 \x8e\x80\x04\x88\x80 \x8c\x80\x04\x8d\x80\x08\x8d\x80 \x85\x80\x08\x88\x80\x08X\x01"
2025-06-22T21:28:26.306+0800	DEBUG	actor/funcs.go:223	[NodeTypeRoom..(1) -> NodeTypeMatch.MatchTexasRoom.Update(1)] args:[8 130 128 128 136 16 16 1 24 1 32 234 137 224 194 6 42 196 1 26 12 8 144 1 18 7 8 144 1 32 4 50 0 26 12 8 145 1 18 7 8 145 1 32 1 50 0 42 165 1 8 2 74 0 88 1 98 156 1 132 128 16 135 128 32 137 128 16 136 128 16 136 128 4 142 128 8 138 128 4 135 128 16 134 128 8 133 128 16 135 128 4 132 128 32 132 128 8 139 128 16 137 128 32 134 128 4 131 128 8 133 128 4 141 128 16 142 128 16 131 128 16 131 128 32 140 128 8 140 128 32 137 128 8 141 128 4 133 128 32 139 128 8 138 128 32 137 128 4 132 128 4 142 128 32 134 128 32 138 128 16 139 128 32 131 128 4 138 128 8 140 128 16 135 128 8 139 128 4 130 128 4 134 128 16 130 128 8 130 128 16 130 128 32 142 128 4 136 128 32 140 128 4 141 128 8 141 128 32 133 128 8 136 128 8 88 1]
2025-06-22T21:28:26.306+0800	DEBUG	actor/funcs.go:223	Actor(MatchTexasRoomMgr.Collect) args:[list:{room_id:4311744514  game_id:1  room_state:RoomStatusWait  create_time:1750598890  table:{players:{key:144  value:{uid:144  player_state:PlayerStatusQuitRoom  game_info:{}}}  players:{key:145  value:{uid:145  player_state:PlayerStatusJoinRoom  game_info:{}}}  game_data:{dealer_chair_id:2  pot_pool:{}  card_cursor:1  card_list:262148  card_list:524295  card_list:262153  card_list:262152  card_list:65544  card_list:131086  card_list:65546  card_list:262151  card_list:131078  card_list:262149  card_list:65543  card_list:524292  card_list:131076  card_list:262155  card_list:524297  card_list:65542  card_list:131075  card_list:65541  card_list:262157  card_list:262158  card_list:262147  card_list:524291  card_list:131084  card_list:524300  card_list:131081  card_list:65549  card_list:524293  card_list:131083  card_list:524298  card_list:65545  card_list:65540  card_list:524302  card_list:524294  card_list:262154  card_list:524299  card_list:65539  card_list:131082  card_list:262156  card_list:131079  card_list:65547  card_list:65538  card_list:262150  card_list:131074  card_list:262146  card_list:524290  card_list:65550  card_list:524296  card_list:65548  card_list:131085  card_list:524301  card_list:131077  card_list:131080}}  online_number:1}]
2025-06-22T21:28:27.128+0800	DEBUG	actor/funcs.go:223	Actor(.Save) args:[]
2025-06-22T21:28:28.099+0800	DEBUG	bus/nats.go:90	收到Nats单播数据包 bodySize:286, pack:head:{send_type:POINT  src:{node_type:NodeTypeRoom  node_id:1  actor_id:4311744514  router_type:RouterTypeRoomId  router:{room:1  game:1}}  dst:{node_type:NodeTypeMatch  node_id:1  actor_name:"MatchTexasRoom"  func_name:"Update"  actor_id:65537  router_type:RouterTypeGameType  router:{room:1  match:1}}  reference:1}  body:"\x08\x82\x80\x80\x88\x10\x10\x01\x18\x01 \xea\x89\xe0\xc2\x06*\xc4\x01\x1a\x0c\x08\x90\x01\x12\x07\x08\x90\x01 \x042\x00\x1a\x0c\x08\x91\x01\x12\x07\x08\x91\x01 \x042\x00*\xa5\x01\x08\x02J\x00X\x01b\x9c\x01\x84\x80\x10\x87\x80 \x89\x80\x10\x88\x80\x10\x88\x80\x04\x8e\x80\x08\x8a\x80\x04\x87\x80\x10\x86\x80\x08\x85\x80\x10\x87\x80\x04\x84\x80 \x84\x80\x08\x8b\x80\x10\x89\x80 \x86\x80\x04\x83\x80\x08\x85\x80\x04\x8d\x80\x10\x8e\x80\x10\x83\x80\x10\x83\x80 \x8c\x80\x08\x8c\x80 \x89\x80\x08\x8d\x80\x04\x85\x80 \x8b\x80\x08\x8a\x80 \x89\x80\x04\x84\x80\x04\x8e\x80 \x86\x80 \x8a\x80\x10\x8b\x80 \x83\x80\x04\x8a\x80\x08\x8c\x80\x10\x87\x80\x08\x8b\x80\x04\x82\x80\x04\x86\x80\x10\x82\x80\x08\x82\x80\x10\x82\x80 \x8e\x80\x04\x88\x80 \x8c\x80\x04\x8d\x80\x08\x8d\x80 \x85\x80\x08\x88\x80\x08"
2025-06-22T21:28:28.099+0800	DEBUG	actor/funcs.go:223	[NodeTypeRoom..(1) -> NodeTypeMatch.MatchTexasRoom.Update(1)] args:[8 130 128 128 136 16 16 1 24 1 32 234 137 224 194 6 42 196 1 26 12 8 144 1 18 7 8 144 1 32 4 50 0 26 12 8 145 1 18 7 8 145 1 32 4 50 0 42 165 1 8 2 74 0 88 1 98 156 1 132 128 16 135 128 32 137 128 16 136 128 16 136 128 4 142 128 8 138 128 4 135 128 16 134 128 8 133 128 16 135 128 4 132 128 32 132 128 8 139 128 16 137 128 32 134 128 4 131 128 8 133 128 4 141 128 16 142 128 16 131 128 16 131 128 32 140 128 8 140 128 32 137 128 8 141 128 4 133 128 32 139 128 8 138 128 32 137 128 4 132 128 4 142 128 32 134 128 32 138 128 16 139 128 32 131 128 4 138 128 8 140 128 16 135 128 8 139 128 4 130 128 4 134 128 16 130 128 8 130 128 16 130 128 32 142 128 4 136 128 32 140 128 4 141 128 8 141 128 32 133 128 8 136 128 8]
2025-06-22T21:28:28.099+0800	DEBUG	actor/funcs.go:223	Actor(MatchTexasRoomMgr.Collect) args:[list:{room_id:4311744514  game_id:1  room_state:RoomStatusWait  create_time:1750598890  table:{players:{key:144  value:{uid:144  player_state:PlayerStatusQuitRoom  game_info:{}}}  players:{key:145  value:{uid:145  player_state:PlayerStatusQuitRoom  game_info:{}}}  game_data:{dealer_chair_id:2  pot_pool:{}  card_cursor:1  card_list:262148  card_list:524295  card_list:262153  card_list:262152  card_list:65544  card_list:131086  card_list:65546  card_list:262151  card_list:131078  card_list:262149  card_list:65543  card_list:524292  card_list:131076  card_list:262155  card_list:524297  card_list:65542  card_list:131075  card_list:65541  card_list:262157  card_list:262158  card_list:262147  card_list:524291  card_list:131084  card_list:524300  card_list:131081  card_list:65549  card_list:524293  card_list:131083  card_list:524298  card_list:65545  card_list:65540  card_list:524302  card_list:524294  card_list:262154  card_list:524299  card_list:65539  card_list:131082  card_list:262156  card_list:131079  card_list:65547  card_list:65538  card_list:262150  card_list:131074  card_list:262146  card_list:524290  card_list:65550  card_list:524296  card_list:65548  card_list:131085  card_list:524301  card_list:131077  card_list:131080}}}]
2025-06-22T21:28:30.457+0800	DEBUG	bus/nats.go:117	收到Nats广播数据包 bodySize:65, pack:head:{send_type:POINT  src:{node_type:NodeTypeGate  node_id:1  router_type:RouterTypeUid}  dst:{node_type:NodeTypeMatch  node_id:1  actor_name:"MatchTexasRoom"  func_name:"RoomListReq"  actor_id:65537  router_type:RouterTypeGameType  router:{gate:1  match:1}}}  body:"\x08\x01\x10\x01"
2025-06-22T21:28:30.457+0800	DEBUG	actor/funcs.go:243	[NodeTypeGate..(1) -> NodeTypeMatch.MatchTexasRoom.RoomListReq(1)] rsp:room_list:{room_id:4311744514  game_type:1  room_stage:1  coin_type:1  room_state:1  create_time:1750598890  finish_time:13750598890  min_buy_in:1000  max_buy_in:10000  small_blind:100  big_blind:200  max_player_count:6}  room_list:{room_id:4311744515  game_type:1  room_stage:2  coin_type:1  room_state:1  create_time:1750598890  finish_time:13750598890  min_buy_in:2000  max_buy_in:20000  small_blind:200  big_blind:400  max_player_count:6}  room_list:{room_id:4311744516  game_type:1  room_stage:3  coin_type:1  room_state:1  create_time:1750598890  finish_time:13750598890  min_buy_in:5000  max_buy_in:50000  small_blind:500  big_blind:1000  max_player_count:6}, reterr:<nil>
2025-06-22T21:28:32.120+0800	DEBUG	actor/funcs.go:223	Actor(.Save) args:[]
